#Transcript position	Transcript coverage profile
0.0	0.10906423910232961
1.0	0.27889162226347347
2.0	0.0830554938875419
3.0	0.119906315232575
4.0	0.15924321012207565
5.0	0.22166934998851642
6.0	0.12716081195215478
7.0	0.21191935088243344
8.0	0.18232789781752268
9.0	0.1644050645700597
10.0	0.2488074231211729
11.0	0.3396313919668541
12.0	0.5738103135631427
13.0	0.8046128564741419
14.0	0.8584356687690923
15.0	0.8609156011473945
16.0	0.9666164996788261
17.0	1.0404696148774883
18.0	1.0971075195998985
19.0	1.2938306917897984
20.0	1.386974720147376
21.0	1.3636964905965197
22.0	1.4922563682057395
23.0	1.5340652394534933
24.0	1.4229944319273742
25.0	1.279012735547436
26.0	1.485231677749916
27.0	1.43347194501514
28.0	1.3942637673036058
29.0	1.4863762201774515
30.0	1.6432550392633003
31.0	1.8827821150910642
32.0	1.975315826255708
33.0	1.79981851748918
34.0	1.8330466917846573
35.0	1.8811563233896442
36.0	1.8647135227259743
37.0	2.0943146564115933
38.0	2.3356938629239163
39.0	2.370003702058203
40.0	2.264955182527291
41.0	2.0922817632850923
42.0	2.0542474854967114
43.0	1.7207756606274445
44.0	1.470244852231149
45.0	1.5902813894036727
46.0	1.5357944385164226
47.0	1.4161007507514796
48.0	1.2869505841477111
49.0	1.32074117401815
50.0	1.4032489408483932
51.0	1.4497205456259272
52.0	1.4923687743794163
53.0	1.4059689636966526
54.0	1.470125793885028
55.0	1.3799736603274089
56.0	1.272033695854778
57.0	1.31658631489323
58.0	1.2360511768997198
59.0	1.2936798187234153
60.0	1.1805836484057664
61.0	1.5210502581079868
62.0	1.754632373723068
63.0	1.6884837482683597
64.0	1.6096206930174428
65.0	1.5993847909696801
66.0	1.8858316792375662
67.0	1.9322878155422973
68.0	1.934074343817454
69.0	1.945132702955662
70.0	2.164717382782295
71.0	2.543330692767348
72.0	2.646366417184666
73.0	2.1569360089741982
74.0	1.8670243417095507
75.0	1.811377562648297
76.0	1.9379744887177148
77.0	1.833844864516099
78.0	2.0495537298615467
79.0	2.280245327035963
80.0	2.042785873995667
81.0	1.992347201138203
82.0	1.9206421836201955
83.0	1.7671997611547086
84.0	1.4244770410960235
85.0	0.8960291494665303
86.0	0.717532299358409
87.0	0.6979727579381199
88.0	1.0484255268168121
89.0	0.5905863392343121
90.0	0.4543492398361923
91.0	0.5749020021467472
92.0	0.5352725961854217
93.0	0.4621635098853648
94.0	0.2889672998236827
95.0	0.18590582971650663
96.0	0.11387774324197117
97.0	0.057049147545747046
98.0	0.0423663226721177
99.0	0.0
