Module	Section	Sample Name	Source
QualiMap	rna_genome_results	POR_13_S81	/project/pi_hputnam_uri_edu/zdellaert/Porites_LCM_test/output_RNA/alignment_qc/POR_Dtrenchii/POR_13_S81/rnaseq_qc_results.txt
QualiMap	rna_genome_results	POR_34_S82	/project/pi_hputnam_uri_edu/zdellaert/Porites_LCM_test/output_RNA/alignment_qc/POR_Dtrenchii/POR_34_S82/rnaseq_qc_results.txt
QualiMap	rna_genome_results	POR_61_S83	/project/pi_hputnam_uri_edu/zdellaert/Porites_LCM_test/output_RNA/alignment_qc/POR_Dtrenchii/POR_61_S83/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	POR_13_S81	/project/pi_hputnam_uri_edu/zdellaert/Porites_LCM_test/output_RNA/alignment_qc/POR_Dtrenchii/POR_13_S81/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	POR_34_S82	/project/pi_hputnam_uri_edu/zdellaert/Porites_LCM_test/output_RNA/alignment_qc/POR_Dtrenchii/POR_34_S82/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	POR_61_S83	/project/pi_hputnam_uri_edu/zdellaert/Porites_LCM_test/output_RNA/alignment_qc/POR_Dtrenchii/POR_61_S83/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
STAR	SummaryLog	POR_61_S83	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/Porites_LCM_test/aligned/POR_Dtrenchii/POR_61_S83_Log.final.out
STAR	SummaryLog	POR_34_S82	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/Porites_LCM_test/aligned/POR_Dtrenchii/POR_34_S82_Log.final.out
STAR	SummaryLog	POR_13_S81	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/Porites_LCM_test/aligned/POR_Dtrenchii/POR_13_S81_Log.final.out
STAR	ReadsPerGene	POR_13_S81	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/Porites_LCM_test/aligned/POR_Dtrenchii/POR_13_S81_ReadsPerGene.out.tab
STAR	ReadsPerGene	POR_61_S83	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/Porites_LCM_test/aligned/POR_Dtrenchii/POR_61_S83_ReadsPerGene.out.tab
STAR	ReadsPerGene	POR_34_S82	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/Porites_LCM_test/aligned/POR_Dtrenchii/POR_34_S82_ReadsPerGene.out.tab
