#Transcript position	Transcript coverage profile
0.0	8828.291002491747
1.0	12038.696501486995
2.0	13428.245108337996
3.0	15009.974367071673
4.0	16763.63908875081
5.0	17843.187103644945
6.0	20056.88440810691
7.0	21035.077233183907
8.0	21881.29583248847
9.0	22590.66189533496
10.0	23349.06342817161
11.0	24225.26326528809
12.0	24428.65790770576
13.0	24788.609858625525
14.0	25988.390870675958
15.0	26277.709232305253
16.0	26499.454981487277
17.0	26831.122461883795
18.0	27035.008992602256
19.0	27136.540198260205
20.0	26884.653154916938
21.0	27350.94547876277
22.0	27545.378497836944
23.0	27638.437830366976
24.0	27580.619754689822
25.0	27903.043864187446
26.0	28135.957602996914
27.0	28351.7821437101
28.0	29154.557938100806
29.0	28922.704799378003
30.0	29102.972781271725
31.0	30551.130176400733
32.0	30851.232302296794
33.0	30993.232924810804
34.0	30697.429637961734
35.0	31258.624959246426
36.0	31699.107359109872
37.0	31539.813090037565
38.0	32141.545548587965
39.0	31726.566501481433
40.0	31125.418992099214
41.0	30993.15204910116
42.0	31477.577966641344
43.0	31621.09066887928
44.0	32726.40350705815
45.0	32473.917185751037
46.0	32281.060787451635
47.0	32153.186913168247
48.0	32004.325239022724
49.0	32930.35756958033
50.0	32620.48084970069
51.0	32898.68079621148
52.0	32983.39017620545
53.0	33074.57948722587
54.0	33091.63590328391
55.0	31810.97798937033
56.0	31330.087507005457
57.0	31607.741045097082
58.0	31352.338611696487
59.0	31491.198441386034
60.0	31745.646130623132
61.0	31813.160200481394
62.0	31941.640186747674
63.0	31592.508121921517
64.0	31094.287890919197
65.0	30232.234268160453
66.0	30365.640447568705
67.0	29997.10504522386
68.0	29357.66836724863
69.0	29523.517028744143
70.0	28887.13425986818
71.0	28432.369794724418
72.0	27477.234894333185
73.0	26493.56124099289
74.0	26212.211480869737
75.0	25220.9097286619
76.0	23949.22794368572
77.0	23548.716989800363
78.0	22973.288099775487
79.0	22344.941107668663
80.0	21666.56852460932
81.0	20838.794587345863
82.0	19281.936505245707
83.0	18551.03328450291
84.0	17326.285368010078
85.0	16103.047276525282
86.0	14604.578901922228
87.0	14076.16540154364
88.0	13048.588546107203
89.0	11715.230233915077
90.0	11027.364490033267
91.0	9541.202713278228
92.0	8487.55410299795
93.0	7352.72248336616
94.0	5488.6580262094285
95.0	4227.77794288937
96.0	2491.3231152365956
97.0	1517.6348835756305
98.0	694.6178193137031
99.0	183.63688057513403
