#Transcript position	Transcript coverage profile
0.0	13422.021366297842
1.0	17783.8786948379
2.0	19999.593839372912
3.0	22295.47728616574
4.0	24708.566992815446
5.0	26338.960652376343
6.0	29168.47527327706
7.0	30641.275955448407
8.0	31873.34690526693
9.0	32897.666494982775
10.0	33956.056137035186
11.0	35083.358760011855
12.0	35535.79699336817
13.0	36153.045989800965
14.0	37538.28552340511
15.0	37943.54789583719
16.0	38368.696870319494
17.0	38851.04249142428
18.0	39145.51354619015
19.0	39410.97038076871
20.0	39269.03228221489
21.0	39795.0811668789
22.0	40011.977728608574
23.0	40102.99275778399
24.0	40093.086957491076
25.0	40469.49614255819
26.0	40780.91013641566
27.0	41037.06174299006
28.0	41865.94726785019
29.0	41556.03628406499
30.0	41837.401339459524
31.0	43321.08148431859
32.0	43690.32447335406
33.0	43878.67727699341
34.0	43596.968420705234
35.0	44220.887617509085
36.0	44695.10137984218
37.0	44589.86002885201
38.0	45225.295819543404
39.0	44811.78168524212
40.0	44287.00548121383
41.0	44156.1190777504
42.0	44636.94867422281
43.0	44823.211695856364
44.0	45935.134103510885
45.0	45661.4401404164
46.0	45497.98405167672
47.0	45366.82965198526
48.0	45255.182216922
49.0	46167.582282296185
50.0	45835.79322751317
51.0	46150.344679311456
52.0	46236.70931152435
53.0	46359.8752095509
54.0	46395.16436664102
55.0	45119.28872029539
56.0	44621.8960146761
57.0	44921.35809885649
58.0	44684.2798266435
59.0	44782.72737967251
60.0	45037.20848594541
61.0	45143.70804099791
62.0	45249.66298311024
63.0	44938.3082842787
64.0	44359.71732295281
65.0	43512.18326094175
66.0	43677.3164127013
67.0	43284.23322392138
68.0	42594.28899415555
69.0	42784.41219985583
70.0	42073.93707213597
71.0	41525.60132977123
72.0	40531.40643245972
73.0	39489.05535122036
74.0	39170.610465731
75.0	38064.145102818904
76.0	36637.04068970327
77.0	36160.51820919629
78.0	35468.58049708657
79.0	34698.84513428093
80.0	33778.33848278179
81.0	32722.7102197313
82.0	30949.55150035308
83.0	29999.362431731843
84.0	28521.819027008118
85.0	27018.47526291084
86.0	25172.96647926919
87.0	24241.6872235881
88.0	22675.08729698387
89.0	20798.71106651166
90.0	19475.61951861865
91.0	17367.916718395387
92.0	15633.345113877178
93.0	13576.89470775312
94.0	10859.345486848122
95.0	8756.665203232324
96.0	6020.792316185036
97.0	3948.6946176771485
98.0	2032.07223940016
99.0	605.92808778831
