"","POR_13","POR_34","POR_61"
"Porites_compressa_HIv1___TS.g4306.t1",0,153,0
"Porites_compressa_HIv1___TS.g4318.t1b",0,19,0
"Porites_compressa_HIv1___RNAseq.g9678.t1",0,47,31
"Porites_compressa_HIv1___RNAseq.16_t",0,0,31
"Porites_compressa_HIv1___TS.g4333.t1",0,29,0
"Porites_compressa_HIv1___TS.g4347.t2",0,0,40
"Porites_compressa_HIv1___RNAseq.g9713.t1",0,351,53
"Porites_compressa_HIv1___RNAseq.g9717.t1",0,41,0
"Porites_compressa_HIv1___RNAseq.g9718.t1a",0,110,0
"Porites_compressa_HIv1___TS.g4365.t2",0,0,511
"Porites_compressa_HIv1___TS.g4365.t3",0,0,80
"Porites_compressa_HIv1___RNAseq.g9722.t1",0,357,282
"Porites_compressa_HIv1___RNAseq.g9725.t1",0,0,408
"Porites_compressa_HIv1___RNAseq.g9727.t1",0,485,2714
"Porites_compressa_HIv1___TS.g4373.t1",0,254,364
"Porites_compressa_HIv1___RNAseq.g9729.t1",0,0,31
"Porites_compressa_HIv1___TS.g4375.t1",0,23,0
"Porites_compressa_HIv1___RNAseq.g9733.t1",0,1,130
"Porites_compressa_HIv1___RNAseq.g9743.t1",0,280,427
"Porites_compressa_HIv1___RNAseq.g9751.t1",0,0,15
"Porites_compressa_HIv1___RNAseq.g9757.t1",0,24,0
"Porites_compressa_HIv1___RNAseq.g9760.t1",0,99,0
"Porites_compressa_HIv1___RNAseq.g9766.t1",0,49,190
"Porites_compressa_HIv1___RNAseq.g9768.t1",0,0,24
"Porites_compressa_HIv1___RNAseq.g9769.t1",0,55,0
"Porites_compressa_HIv1___RNAseq.g9771.t1",0,737,140
"Porites_compressa_HIv1___RNAseq.g9775.t1",0,0,40
"Porites_compressa_HIv1___RNAseq.g9777.t1",0,99,0
"Porites_compressa_HIv1___RNAseq.g9781.t1",0,84,0
"Porites_compressa_HIv1___TS.g4425.t2",0,89,534
"Porites_compressa_HIv1___TS.g4426.t1",0,0,106
"Porites_compressa_HIv1___TS.g4438.t1",0,221,0
"Porites_compressa_HIv1___RNAseq.g9798.t1",0,0,439
"Porites_compressa_HIv1___RNAseq.g9799.t1",0,333,417
"Porites_compressa_HIv1___RNAseq.g9800.t1",0,61,10
"Porites_compressa_HIv1___RNAseq.g9801.t1",0,9,126
"Porites_compressa_HIv1___TS.g4448.t1a",0,0,692
"Porites_compressa_HIv1___RNAseq.g9809.t1",0,50,0
"Porites_compressa_HIv1___RNAseq.g9816.t1",0,51,479
"Porites_compressa_HIv1___RNAseq.g9817.t1",0,0,24
"Porites_compressa_HIv1___RNAseq.g9825.t1",0,0,154
"Porites_compressa_HIv1___RNAseq.g9826.t1",0,0,288
"Porites_compressa_HIv1___RNAseq.g9832.t1",0,121,38
"Porites_compressa_HIv1___RNAseq.g9839.t1",0,681,293
"Porites_compressa_HIv1___RNAseq.g9847.t1",0,180,724
"Porites_compressa_HIv1___RNAseq.g9848.t1",0,243,398
"Porites_compressa_HIv1___RNAseq.g9849.t1",0,52,537
"Porites_compressa_HIv1___RNAseq.g9850.t1",0,0,382
"Porites_compressa_HIv1___RNAseq.g9854.t1",0,0,35
"Porites_compressa_HIv1___RNAseq.g9866.t1",0,40,227
"Porites_compressa_HIv1___RNAseq.g9876.t1",0,0,85
"Porites_compressa_HIv1___RNAseq.g9882.t1",0,509,629
"Porites_compressa_HIv1___RNAseq.g9883.t1",0,154,96
"Porites_compressa_HIv1___RNAseq.g9889.t1",0,170,120
"Porites_compressa_HIv1___RNAseq.g9898.t1",0,0,280
"Porites_compressa_HIv1___RNAseq.g9899.t1",0,591,25
"Porites_compressa_HIv1___RNAseq.g9901.t1",0,44,0
"Porites_compressa_HIv1___RNAseq.g9902.t1",0,223,263
"Porites_compressa_HIv1___RNAseq.g9905.t1",0,28,0
"Porites_compressa_HIv1___RNAseq.g9915.t1",0,292,324
"Porites_compressa_HIv1___RNAseq.g9917.t1",0,540,987
"Porites_compressa_HIv1___RNAseq.g9922.t1",0,0,46
"Porites_compressa_HIv1___RNAseq.g9927.t1",0,12,261
"Porites_compressa_HIv1___RNAseq.g9928.t1",0,36,383
"Porites_compressa_HIv1___RNAseq.g9936.t1",0,0,14
"Porites_compressa_HIv1___RNAseq.g9940.t1",0,0,109
"Porites_compressa_HIv1___RNAseq.g9941.t1",0,93,1
"Porites_compressa_HIv1___RNAseq.g9949.t1",0,19,0
"Porites_compressa_HIv1___RNAseq.g9955.t1",0,0,50
"Porites_compressa_HIv1___RNAseq.g9968.t1",0,522,912
"Porites_compressa_HIv1___TS.g4617.t1a",0,18,0
"Porites_compressa_HIv1___RNAseq.g9984.t1",0,209,0
"Porites_compressa_HIv1___RNAseq.g9990.t1",0,1225,141
"Porites_compressa_HIv1___RNAseq.g9992.t2",0,280,205
"Porites_compressa_HIv1___RNAseq.g9996.t1",0,0,166
"Porites_compressa_HIv1___RNAseq.g9998.t1",0,167,0
"Porites_compressa_HIv1___TS.g4651.t1",0,188,140
"Porites_compressa_HIv1___RNAseq.g10006.t1",0,489,440
