gene_id,POR_13_S81,POR_34_S82,POR_61_S83
Porites_compressa_HIv1___RNAseq.g9667.t1,0,0,0
Porites_compressa_HIv1___TS.g4306.t1,0,153,0
Porites_compressa_HIv1___TS.g4309.t1,0,0,0
Porites_compressa_HIv1___TS.g4310.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9670.t1,0,0,0
Porites_compressa_HIv1___TS.g4318.t1b,0,19,0
Porites_compressa_HIv1___RNAseq.g9678.t1,0,47,31
Porites_compressa_HIv1___RNAseq.16_t,0,0,31
Porites_compressa_HIv1___TS.g4323.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9679.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9682.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9683.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9684.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9685.t1,0,0,0
Porites_compressa_HIv1___TS.g4333.t1,0,29,0
Porites_compressa_HIv1___RNAseq.g9702.t1,0,0,0
Porites_compressa_HIv1___TS.g4347.t2,0,0,40
Porites_compressa_HIv1___RNAseq.g9707.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9709.t1,0,0,0
Porites_compressa_HIv1___TS.g4355.t2,0,0,0
Porites_compressa_HIv1___RNAseq.g9713.t1,0,351,53
Porites_compressa_HIv1___RNAseq.g9714.t1,0,8,7
Porites_compressa_HIv1___RNAseq.g9716.t1,0,8,0
Porites_compressa_HIv1___RNAseq.g9717.t1,0,41,0
Porites_compressa_HIv1___RNAseq.g9718.t1c,0,0,0
Porites_compressa_HIv1___RNAseq.g9718.t1a,0,110,0
Porites_compressa_HIv1___TS.g4365.t2,0,0,511
Porites_compressa_HIv1___TS.g4365.t3,0,0,80
Porites_compressa_HIv1___RNAseq.g9722.t1,0,357,282
Porites_compressa_HIv1___RNAseq.g9725.t1,0,0,408
Porites_compressa_HIv1___RNAseq.g9726.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9727.t1,0,485,2714
Porites_compressa_HIv1___TS.g4373.t1,0,254,364
Porites_compressa_HIv1___RNAseq.g9729.t1,0,0,31
Porites_compressa_HIv1___TS.g4375.t1,0,23,0
Porites_compressa_HIv1___RNAseq.g9732.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9733.t1,0,1,130
Porites_compressa_HIv1___RNAseq.g9734.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9735.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9736.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9737.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9738.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9739.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9740.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9741.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9742.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9743.t1,0,280,427
Porites_compressa_HIv1___RNAseq.g9744.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9749.t2,0,0,0
Porites_compressa_HIv1___RNAseq.g9751.t1,0,0,15
Porites_compressa_HIv1___RNAseq.g9757.t1,0,24,0
Porites_compressa_HIv1___RNAseq.g9760.t1,0,99,0
Porites_compressa_HIv1___RNAseq.g9761.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9762.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9764.t1,0,9,0
Porites_compressa_HIv1___RNAseq.g9766.t1,0,49,190
Porites_compressa_HIv1___RNAseq.g9768.t1,0,0,24
Porites_compressa_HIv1___RNAseq.g9769.t1,0,55,0
Porites_compressa_HIv1___RNAseq.g9771.t1,0,737,140
Porites_compressa_HIv1___TS.g4418.t1b,0,0,0
Porites_compressa_HIv1___TS.g4418.t1a,0,0,0
Porites_compressa_HIv1___RNAseq.g9775.t1,0,0,40
Porites_compressa_HIv1___RNAseq.g9777.t1,0,99,0
Porites_compressa_HIv1___RNAseq.g9778.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9779.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9781.t1,0,84,0
Porites_compressa_HIv1___TS.g4425.t2,0,89,534
Porites_compressa_HIv1___TS.g4426.t1,0,0,106
Porites_compressa_HIv1___RNAseq.g9784.t1,0,1,1
Porites_compressa_HIv1___RNAseq.g9785.t1,0,0,0
Porites_compressa_HIv1___TS.g4438.t1,0,221,0
Porites_compressa_HIv1___RNAseq.g9798.t1,0,0,439
Porites_compressa_HIv1___RNAseq.g9799.t1,0,333,417
Porites_compressa_HIv1___RNAseq.g9800.t1,0,61,10
Porites_compressa_HIv1___RNAseq.g9801.t1,0,9,126
Porites_compressa_HIv1___TS.g4448.t1a,0,0,692
Porites_compressa_HIv1___TS.g4450.t1,0,0,0
Porites_compressa_HIv1___TS.g4452.t1,0,8,0
Porites_compressa_HIv1___TS.g4453.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9808.t1,0,0,0
Porites_compressa_HIv1___TS.g4455.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9809.t1,0,50,0
Porites_compressa_HIv1___RNAseq.g9810.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9813.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9816.t1,0,51,479
Porites_compressa_HIv1___RNAseq.g9817.t1,0,0,24
Porites_compressa_HIv1___TS.g4468.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9825.t1,0,0,154
Porites_compressa_HIv1___RNAseq.g9826.t1,0,0,288
Porites_compressa_HIv1___RNAseq.g9827.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9829.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9830.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9832.t1,0,121,38
Porites_compressa_HIv1___RNAseq.g9839.t1,0,681,293
Porites_compressa_HIv1___RNAseq.g9842.t1,0,1,8
Porites_compressa_HIv1___RNAseq.g9847.t1,0,180,724
Porites_compressa_HIv1___RNAseq.g9848.t1,0,243,398
Porites_compressa_HIv1___RNAseq.g9849.t1,0,52,537
Porites_compressa_HIv1___RNAseq.g9850.t1,0,0,382
Porites_compressa_HIv1___TS.g4495.t3,0,0,0
Porites_compressa_HIv1___RNAseq.g9852.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9853.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9854.t1,0,0,35
Porites_compressa_HIv1___RNAseq.g9855.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9856.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9857.t1,0,0,1
Porites_compressa_HIv1___RNAseq.g9863.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9864.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9865.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9866.t1,0,40,227
Porites_compressa_HIv1___TS.g4510.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9867.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9868.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9869.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9870.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9872.t1,0,0,0
Porites_compressa_HIv1___TS.g4520.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9876.t1,0,0,85
Porites_compressa_HIv1___RNAseq.g9878.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9881.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9882.t1,0,509,629
Porites_compressa_HIv1___RNAseq.g9883.t1,0,154,96
Porites_compressa_HIv1___RNAseq.g9888.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9889.t1,0,170,120
Porites_compressa_HIv1___RNAseq.g9890.t1a,0,0,0
Porites_compressa_HIv1___RNAseq.g9894.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9895.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9896.t1a,0,0,0
Porites_compressa_HIv1___RNAseq.g9896.t1b,0,0,0
Porites_compressa_HIv1___TS.g4544.t1,0,0,1
Porites_compressa_HIv1___RNAseq.g9898.t1,0,0,280
Porites_compressa_HIv1___RNAseq.g9899.t1,0,591,25
Porites_compressa_HIv1___RNAseq.g9901.t1,0,44,0
Porites_compressa_HIv1___RNAseq.g9902.t1,0,223,263
Porites_compressa_HIv1___RNAseq.g9905.t1,0,28,0
Porites_compressa_HIv1___RNAseq.g9906.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9907.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9909.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9910.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9911.t1,0,0,0
Porites_compressa_HIv1___TS.g4559.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9913.t1,0,2,2
Porites_compressa_HIv1___RNAseq.245_t,0,0,0
Porites_compressa_HIv1___RNAseq.g9915.t1,0,292,324
Porites_compressa_HIv1___RNAseq.g9917.t1,0,540,987
Porites_compressa_HIv1___RNAseq.g9919.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9921.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9922.t1,0,0,46
Porites_compressa_HIv1___RNAseq.g9923.t1,0,0,0
Porites_compressa_HIv1___TS.g4572.t1,0,0,1
Porites_compressa_HIv1___TS.g4573.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9925.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9927.t1,0,12,261
Porites_compressa_HIv1___RNAseq.g9928.t1,0,36,383
Porites_compressa_HIv1___RNAseq.g9929.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9932.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9933.t1,0,0,0
Porites_compressa_HIv1___TS.g4582.t1,0,1,0
Porites_compressa_HIv1___RNAseq.g9936.t1,0,0,14
Porites_compressa_HIv1___RNAseq.g9937.t1,0,0,0
Porites_compressa_HIv1___TS.g4588.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9940.t1,0,0,109
Porites_compressa_HIv1___RNAseq.g9941.t1,0,93,1
Porites_compressa_HIv1___TS.g4596.t1,0,0,1
Porites_compressa_HIv1___RNAseq.g9949.t1,0,19,0
Porites_compressa_HIv1___RNAseq.g9952.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9953.t1,0,1,0
Porites_compressa_HIv1___RNAseq.g9954.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9955.t1,0,0,50
Porites_compressa_HIv1___RNAseq.g9958.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9962.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9963.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9964.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9965.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9966.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9968.t1,0,522,912
Porites_compressa_HIv1___TS.g4617.t1a,0,18,0
Porites_compressa_HIv1___RNAseq.g9975.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9979.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9980.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9981.t1,0,0,0
Porites_compressa_HIv1___TS.g4629.t1,0,0,0
Porites_compressa_HIv1___TS.g4630.t2,0,0,0
Porites_compressa_HIv1___RNAseq.g9984.t1,0,209,0
Porites_compressa_HIv1___RNAseq.g9988.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9990.t1,0,1225,141
Porites_compressa_HIv1___RNAseq.g9992.t2,0,280,205
Porites_compressa_HIv1___RNAseq.g9994.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9995.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g9996.t1,0,0,166
Porites_compressa_HIv1___RNAseq.g9998.t1,0,167,0
Porites_compressa_HIv1___RNAseq.g10001.t1b,0,0,0
Porites_compressa_HIv1___RNAseq.g10002.t1,0,0,0
Porites_compressa_HIv1___TS.g4651.t1,0,188,140
Porites_compressa_HIv1___RNAseq.g10006.t1,0,489,440
Porites_compressa_HIv1___RNAseq.g10009.t1,0,0,1
Porites_compressa_HIv1___RNAseq.g10010.t1,0,1,18
Porites_compressa_HIv1___TS.g4660.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10021.t1,0,493,53
Porites_compressa_HIv1___RNAseq.g10024.t1,0,0,1
Porites_compressa_HIv1___TS.g4669.t1,0,0,472
Porites_compressa_HIv1___RNAseq.g10027.t1,0,0,0
Porites_compressa_HIv1___TS.g4671.t1,0,115,68
Porites_compressa_HIv1___RNAseq.g10030.t1,0,0,0
Porites_compressa_HIv1___TS.g4676.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10035.t1,0,0,7518
Porites_compressa_HIv1___RNAseq.g10036.t1,0,0,1
Porites_compressa_HIv1___RNAseq.g10037.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10038.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10039.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10042.t1,0,0,12
Porites_compressa_HIv1___RNAseq.g10044.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10045.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10050.t1,0,0,2
Porites_compressa_HIv1___RNAseq.g10051.t1,0,0,2
Porites_compressa_HIv1___TS.g4695.t1,0,0,0
Porites_compressa_HIv1___TS.g4697.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10055.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10056.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10059.t1,0,0,0
Porites_compressa_HIv1___TS.g4703.t1,0,0,0
Porites_compressa_HIv1___TS.g4704.t1,0,0,28
Porites_compressa_HIv1___RNAseq.g10064.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10065.t1,0,0,1
Porites_compressa_HIv1___RNAseq.g10066.t1b,0,0,0
Porites_compressa_HIv1___RNAseq.g10066.t1a,0,0,1
