"","query","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","blast_hit","evalue","ProteinNames","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"1","Porites_compressa_HIv1___RNAseq.g21460.t1",130920.265246197,-9.44948449002999,0.642907219520727,-14.6980531608812,6.6339689005815e-49,8.521996449687e-45,NA,NA,NA,NA,NA,NA,NA
"2","Porites_compressa_HIv1___RNAseq.g21382.t1",12174.5989769427,13.9914479872294,0.993542276827027,14.0823881515263,4.87346109183136e-45,3.13022405928329e-41,"A4IGL7",1.12e-88,"Peroxidasin (EC 1.11.2.-) [Cleaved into: PXDN active fragment]","angiogenesis [GO:0001525]; basement membrane assembly [GO:0070831]; basement membrane organization [GO:0071711]; cell adhesion [GO:0007155]; hydrogen peroxide catabolic process [GO:0042744]; protein homooligomerization [GO:0051260]; protein homotrimerization [GO:0070207]; response to oxidative stress [GO:0006979]","GO:0001525; GO:0005576; GO:0005604; GO:0005783; GO:0006979; GO:0007155; GO:0009986; GO:0016684; GO:0020037; GO:0031012; GO:0042744; GO:0046872; GO:0051260; GO:0070207; GO:0070831; GO:0071711; GO:0140825","basement membrane [GO:0005604]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]","heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on peroxide as acceptor [GO:0016684]"
"3","Porites_compressa_HIv1___RNAseq.g19456.t1",17265.0493649107,-12.2000025419372,0.882702336016342,-13.8211966187787,1.89886845475928e-43,8.13095472327923e-40,NA,NA,NA,NA,NA,NA,NA
"4","Porites_compressa_HIv1___RNAseq.g3904.t1",21554.3593712498,7.08177076129716,0.631149762996552,11.2204284569079,3.23698329828991e-29,1.0395571862458e-25,"P46436",6.72e-35,"Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma)","cellular oxidant detoxification [GO:0098869]; glutathione metabolic process [GO:0006749]","GO:0004364; GO:0004602; GO:0005737; GO:0005903; GO:0006749; GO:0098869","brush border [GO:0005903]; cytoplasm [GO:0005737]","glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]"
"5","Porites_compressa_HIv1___RNAseq.g31163.t1",24351.1560538505,-8.70967245850249,0.796220108599016,-10.9387747991288,7.52093882813391e-28,1.93227960372416e-24,NA,NA,NA,NA,NA,NA,NA
"6","Porites_compressa_HIv1___RNAseq.g22304.t1",7824.08964823059,16.9741977219551,1.62843005262497,10.4236578627331,1.9337003174701e-25,4.14005237970349e-22,NA,NA,NA,NA,NA,NA,NA
"7","Porites_compressa_HIv1___RNAseq.g7963.t1",21398.3701570106,10.8182480343944,1.03996868123025,10.4024748337582,2.41576037058875e-25,4.43326538865473e-22,"Q14119",1.19e-06,"Vascular endothelial zinc finger 1 (Putative transcription factor DB1) (Zinc finger protein 161)","angiogenesis [GO:0001525]; cellular defense response [GO:0006968]; endothelial cell development [GO:0001885]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]","GO:0000977; GO:0000981; GO:0001228; GO:0001525; GO:0001885; GO:0005634; GO:0005654; GO:0006357; GO:0006968; GO:0008270; GO:0045603; GO:0045944","nucleoplasm [GO:0005654]; nucleus [GO:0005634]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]"
"8","Porites_compressa_HIv1___RNAseq.g7964.t1",29811.0334195531,10.6233123445869,1.05102436956945,10.1075794740505,5.11319432084686e-24,8.21051178069985e-21,"Q14119",3.22e-06,"Vascular endothelial zinc finger 1 (Putative transcription factor DB1) (Zinc finger protein 161)","angiogenesis [GO:0001525]; cellular defense response [GO:0006968]; endothelial cell development [GO:0001885]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]","GO:0000977; GO:0000981; GO:0001228; GO:0001525; GO:0001885; GO:0005634; GO:0005654; GO:0006357; GO:0006968; GO:0008270; GO:0045603; GO:0045944","nucleoplasm [GO:0005654]; nucleus [GO:0005634]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]"
"9","Porites_compressa_HIv1___TS.g14294.t1",8809.8018850783,-7.45275390433951,0.755408658769635,-9.86585713285061,5.85323734583954e-23,8.3545207716283e-20,NA,NA,NA,NA,NA,NA,NA
"10","Porites_compressa_HIv1___RNAseq.g18847.t1",3947.583604396,-10.3337483563719,1.04976753550679,-9.84384447684707,7.28717704073016e-23,9.36110762652196e-20,"Q3URF8",1.31e-22,"BTB/POZ domain-containing protein KCTD21 (KCASH2 protein) (Potassium channel tetramerization domain-containing protein 21)","protein homooligomerization [GO:0051260]; protein ubiquitination [GO:0016567]","GO:0016567; GO:0051260","",""
"11","Porites_compressa_HIv1___RNAseq.g14964.t1",4529.34990421602,16.1855787626355,1.66672211160212,9.71102420131532,2.70604142296213e-22,3.16016437448832e-19,NA,NA,NA,NA,NA,NA,NA
"12","Porites_compressa_HIv1___RNAseq.g26166.t1",3597.73594727352,15.8533636943105,1.68996382614897,9.38088937112729,6.5418558378631e-21,7.00305667443245e-18,"Q68AP4",3.93e-18,"N-substituted formamide deformylase (EC 3.5.1.91)","","GO:0033966","","N-substituted formamide deformylase activity [GO:0033966]"
"13","Porites_compressa_HIv1___RNAseq.g10129.t1",5038.32141821102,6.96940799548304,0.751506044291314,9.27392141210966,1.79425145454655e-20,1.77299647577731e-17,"Q12019",1.28e-13,"Midasin (Dynein-related AAA-ATPase REA1) (MIDAS-containing protein) (Ribosome export/assembly protein 1)","protein-RNA complex remodeling [GO:0110136]; regulation of ribosomal subunit export from nucleus [GO:2000200]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]; rRNA processing [GO:0006364]","GO:0000027; GO:0000055; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005739; GO:0006364; GO:0016887; GO:0030687; GO:0110136; GO:2000200","mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]"
"14","Porites_compressa_HIv1___RNAseq.g31770.t1",2678.65765565253,15.4277836894674,1.72823536417053,8.92689966269265,4.38114470266405e-19,4.0200132036016e-16,"Q9U0E6",1.59e-71,"Profilin","regulation of cellular component organization [GO:0051128]","GO:0003785; GO:0005938; GO:0051128","cell cortex [GO:0005938]","actin monomer binding [GO:0003785]"
"15","Porites_compressa_HIv1___RNAseq.g21511.t1",2466.46858899086,15.3087200359579,1.74098681946504,8.79312804944833,1.45452539478051e-18,1.24565554809003e-15,NA,NA,NA,NA,NA,NA,NA
"16","Porites_compressa_HIv1___RNAseq.g10035.t1",2298.61297285649,15.2070363488356,1.75268199307702,8.67643783008122,4.08357813520986e-18,3.27860279530661e-15,"A1KZ92",1.24e-24,"Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)","hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]","GO:0004519; GO:0004601; GO:0005615; GO:0005783; GO:0005886; GO:0006979; GO:0020037; GO:0042744; GO:0046872; GO:0140825","endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]","endonuclease activity [GO:0004519]; heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]"
"17","Porites_compressa_HIv1___TS.g30204.t1",1586.80904759731,-26.0389050203766,3.091874068726,-8.42172237341668,3.70989353375935e-17,2.80337013733368e-14,"P91953",2.93e-48,"50 kDa hatching enzyme (HE) (HEZ) (EC 3.4.24.12) (Envelysin) (Sea-urchin-hatching proteinase) [Cleaved into: 38 kDa hatching enzyme; 32 kDa hatching enzyme non-specific; 15 kDa peptide]","collagen catabolic process [GO:0030574]; extracellular matrix organization [GO:0030198]; proteolysis [GO:0006508]","GO:0004222; GO:0006508; GO:0008270; GO:0030198; GO:0030574; GO:0031012","extracellular matrix [GO:0031012]","metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"18","Porites_compressa_HIv1___RNAseq.g19458.t1",30622.190037403,-18.0544656563435,2.15102018972116,-8.3934431404309,4.72108032019577e-17,3.36927765517971e-14,NA,NA,NA,NA,NA,NA,NA
"19","Porites_compressa_HIv1___RNAseq.g19590.t1",1817.67147161903,14.8683627811797,1.79761853442476,8.27114457069038,1.32679045458296e-16,8.97050009451195e-14,"Q9NYR8",3.29e-67,"Retinol dehydrogenase 8 (EC 1.1.1.300) (Photoreceptor outer segment all-trans retinol dehydrogenase) (Short chain dehydrogenase/reductase family 28C member 2)","estrogen biosynthetic process [GO:0006703]; retinol metabolic process [GO:0042572]; steroid biosynthetic process [GO:0006694]; visual perception [GO:0007601]","GO:0004303; GO:0004745; GO:0005829; GO:0005886; GO:0006694; GO:0006703; GO:0007601; GO:0042572; GO:0052650","cytosol [GO:0005829]; plasma membrane [GO:0005886]","all-trans-retinol dehydrogenase (NAD+) activity [GO:0004745]; all-trans-retinol dehydrogenase (NADP+) activity [GO:0052650]; estradiol 17-beta-dehydrogenase [NAD(P)+] activity [GO:0004303]"
"20","Porites_compressa_HIv1___RNAseq.g18027.t1",1321.17195288903,-25.7876892017082,3.13034761106798,-8.23796344870156,1.75166677814969e-16,1.12509557160554e-13,NA,NA,NA,NA,NA,NA,NA
"21","Porites_compressa_HIv1___RNAseq.g19457.t1",19626.2652777354,-17.412672686174,2.14770565879883,-8.10756940311483,5.16423717814099e-16,3.15903765668568e-13,NA,NA,NA,NA,NA,NA,NA
"22","Porites_compressa_HIv1___RNAseq.g7452.t1",1596.82991640279,10.6733679717834,1.32710348912635,8.0426041067904,8.79491116573992e-16,5.13542858341341e-13,"P36888",4.89e-49,"Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)","B cell differentiation [GO:0030183]; cell migration [GO:0016477]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; cellular response to cytokine stimulus [GO:0071345]; cellular response to glucocorticoid stimulus [GO:0071385]; common myeloid progenitor cell proliferation [GO:0035726]; cytokine-mediated signaling pathway [GO:0019221]; dendritic cell differentiation [GO:0097028]; hemopoiesis [GO:0030097]; leukocyte homeostasis [GO:0001776]; liver regeneration [GO:0097421]; lymphocyte proliferation [GO:0046651]; myeloid progenitor cell differentiation [GO:0002318]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; pro-B cell differentiation [GO:0002328]; protein autophosphorylation [GO:0046777]; regulation of apoptotic process [GO:0042981]","GO:0001776; GO:0002318; GO:0002328; GO:0004713; GO:0004714; GO:0004896; GO:0005021; GO:0005524; GO:0005783; GO:0005788; GO:0005886; GO:0007169; GO:0008284; GO:0010008; GO:0016477; GO:0018108; GO:0019221; GO:0019838; GO:0030097; GO:0030183; GO:0035259; GO:0035726; GO:0042531; GO:0042981; GO:0043235; GO:0043406; GO:0043410; GO:0044877; GO:0046651; GO:0046777; GO:0051897; GO:0071345; GO:0071385; GO:0097028; GO:0097421; GO:0141038","endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endosome membrane [GO:0010008]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]","ATP binding [GO:0005524]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; nuclear glucocorticoid receptor binding [GO:0035259]; phosphatidylinositol 3-kinase activator activity [GO:0141038]; protein tyrosine kinase activity [GO:0004713]; protein-containing complex binding [GO:0044877]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor receptor activity [GO:0005021]"
